image_path,caption
images/satellite_000.jpg,A industrial area with scattered vegetation and grey tones
images/satellite_001.jpg,A urban area with developed infrastructure and mixed tones
images/satellite_002.jpg,A coastal area with dense roads and green tones
images/satellite_003.jpg,A coastal area with dense buildings and blue tones
images/satellite_004.jpg,A industrial area with developed vegetation and grey tones
images/satellite_005.jpg,A urban area with sparse water bodies and mixed tones
images/satellite_006.jpg,A rural area with dense vegetation and blue tones
images/satellite_007.jpg,A rural area with sparse buildings and grey tones
images/satellite_008.jpg,A urban area with dense infrastructure and green tones
images/satellite_009.jpg,A rural area with developed water bodies and brown tones
images/satellite_010.jpg,A urban area with developed water bodies and mixed tones
images/satellite_011.jpg,A residential area with dense water bodies and mixed tones
images/satellite_012.jpg,A residential area with sparse infrastructure and mixed tones
images/satellite_013.jpg,A urban area with developed infrastructure and brown tones
images/satellite_014.jpg,A rural area with dense infrastructure and green tones
images/satellite_015.jpg,A residential area with dense vegetation and mixed tones
images/satellite_016.jpg,A coastal area with scattered vegetation and grey tones
images/satellite_017.jpg,A residential area with sparse vegetation and mixed tones
images/satellite_018.jpg,A rural area with scattered roads and green tones
images/satellite_019.jpg,A industrial area with dense roads and blue tones
images/satellite_020.jpg,A rural area with organized roads and green tones
images/satellite_021.jpg,A rural area with organized buildings and mixed tones
images/satellite_022.jpg,A residential area with organized roads and green tones
images/satellite_023.jpg,A rural area with sparse buildings and mixed tones
images/satellite_024.jpg,A industrial area with developed water bodies and green tones
images/satellite_025.jpg,A rural area with scattered water bodies and grey tones
images/satellite_026.jpg,A coastal area with sparse infrastructure and mixed tones
images/satellite_027.jpg,A residential area with scattered roads and grey tones
images/satellite_028.jpg,A urban area with sparse water bodies and grey tones
images/satellite_029.jpg,A coastal area with sparse water bodies and blue tones
images/satellite_030.jpg,A industrial area with dense roads and mixed tones
images/satellite_031.jpg,A industrial area with scattered vegetation and green tones
images/satellite_032.jpg,A urban area with developed infrastructure and mixed tones
images/satellite_033.jpg,A urban area with scattered water bodies and brown tones
images/satellite_034.jpg,A residential area with organized vegetation and mixed tones
images/satellite_035.jpg,A industrial area with organized buildings and brown tones
images/satellite_036.jpg,A rural area with scattered water bodies and grey tones
images/satellite_037.jpg,A residential area with sparse infrastructure and green tones
images/satellite_038.jpg,A residential area with sparse water bodies and mixed tones
images/satellite_039.jpg,A industrial area with dense vegetation and green tones
images/satellite_040.jpg,A rural area with scattered vegetation and blue tones
images/satellite_041.jpg,A coastal area with developed infrastructure and green tones
images/satellite_042.jpg,A coastal area with dense roads and mixed tones
images/satellite_043.jpg,A residential area with dense roads and grey tones
images/satellite_044.jpg,A urban area with dense roads and green tones
images/satellite_045.jpg,A urban area with organized buildings and grey tones
images/satellite_046.jpg,A residential area with developed water bodies and mixed tones
images/satellite_047.jpg,A industrial area with organized buildings and mixed tones
images/satellite_048.jpg,A rural area with dense roads and green tones
images/satellite_049.jpg,A industrial area with sparse water bodies and green tones
images/satellite_050.jpg,A urban area with developed roads and mixed tones
images/satellite_051.jpg,A coastal area with dense buildings and green tones
images/satellite_052.jpg,A rural area with developed roads and blue tones
images/satellite_053.jpg,A coastal area with organized infrastructure and mixed tones
images/satellite_054.jpg,A residential area with developed vegetation and mixed tones
images/satellite_055.jpg,A industrial area with dense infrastructure and grey tones
images/satellite_056.jpg,A rural area with organized water bodies and mixed tones
images/satellite_057.jpg,A coastal area with sparse infrastructure and grey tones
images/satellite_058.jpg,A coastal area with dense buildings and brown tones
images/satellite_059.jpg,A industrial area with scattered roads and green tones
images/satellite_060.jpg,A residential area with scattered buildings and brown tones
images/satellite_061.jpg,A rural area with organized water bodies and brown tones
images/satellite_062.jpg,A industrial area with scattered roads and brown tones
images/satellite_063.jpg,A rural area with developed roads and brown tones
images/satellite_064.jpg,A residential area with sparse vegetation and green tones
images/satellite_065.jpg,A residential area with dense infrastructure and green tones
images/satellite_066.jpg,A industrial area with dense buildings and grey tones
images/satellite_067.jpg,A residential area with sparse infrastructure and brown tones
images/satellite_068.jpg,A residential area with developed infrastructure and grey tones
images/satellite_069.jpg,A coastal area with scattered vegetation and brown tones
images/satellite_070.jpg,A industrial area with dense buildings and brown tones
images/satellite_071.jpg,A coastal area with sparse water bodies and grey tones
images/satellite_072.jpg,A urban area with scattered buildings and brown tones
images/satellite_073.jpg,A residential area with developed buildings and green tones
images/satellite_074.jpg,A urban area with scattered infrastructure and green tones
images/satellite_075.jpg,A industrial area with organized infrastructure and grey tones
images/satellite_076.jpg,A urban area with scattered infrastructure and green tones
images/satellite_077.jpg,A rural area with sparse water bodies and grey tones
images/satellite_078.jpg,A industrial area with scattered vegetation and blue tones
images/satellite_079.jpg,A residential area with dense vegetation and green tones
images/satellite_080.jpg,A industrial area with sparse infrastructure and mixed tones
images/satellite_081.jpg,A rural area with dense vegetation and blue tones
images/satellite_082.jpg,A urban area with scattered buildings and brown tones
images/satellite_083.jpg,A residential area with developed vegetation and green tones
images/satellite_084.jpg,A coastal area with scattered water bodies and green tones
images/satellite_085.jpg,A residential area with scattered vegetation and blue tones
images/satellite_086.jpg,A rural area with developed roads and grey tones
images/satellite_087.jpg,A industrial area with dense roads and green tones
images/satellite_088.jpg,A coastal area with sparse water bodies and grey tones
images/satellite_089.jpg,A residential area with scattered vegetation and blue tones
images/satellite_090.jpg,A rural area with developed infrastructure and brown tones
images/satellite_091.jpg,A coastal area with sparse water bodies and blue tones
images/satellite_092.jpg,A rural area with organized roads and mixed tones
images/satellite_093.jpg,A coastal area with sparse buildings and blue tones
images/satellite_094.jpg,A residential area with developed vegetation and brown tones
images/satellite_095.jpg,A residential area with sparse water bodies and green tones
images/satellite_096.jpg,A coastal area with scattered buildings and mixed tones
images/satellite_097.jpg,A industrial area with developed roads and grey tones
images/satellite_098.jpg,A coastal area with organized infrastructure and mixed tones
images/satellite_099.jpg,A urban area with sparse water bodies and mixed tones
